OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,MV_STORE,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,PAGE_STORE,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,config,workload,throughput
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,voter-16,46637.883217515926
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,ycsb-2400,17605.71496668122
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,smallbank-10,18037.68635725761
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,43,tpcc-2,870.391541636544
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,voter-16,29249.28332894594
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,voter-2,28816.299936123865
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,ycsb-600,22246.099384378183
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,tpcc-8,623.3427895238383
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,smallbank-1,20116.828067213904
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,tpcc-2,745.095522721004
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,smallbank-10,12643.869550369038
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,44,ycsb-2400,14130.150892033844
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,ycsb-600,24354.72270728591
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,tpcc-8,634.3438045437917
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,smallbank-1,21422.033306686862
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,voter-16,32053.549900099773
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,voter-2,29750.46659328218
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,ycsb-2400,15113.170100494275
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,tpcc-2,761.5121900030309
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,45,smallbank-10,13349.044651261707
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,tpcc-2,765.5315045551221
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,smallbank-10,12944.764150606976
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,ycsb-2400,15381.797910895482
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,voter-16,29731.299954412007
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,voter-2,28886.79997544621
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,ycsb-600,22617.93254585251
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,smallbank-1,21329.44868632333
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,46,tpcc-8,617.5597435646248
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,ycsb-2400,17542.032896206772
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,tpcc-2,902.4800400633366
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,smallbank-10,18651.411356827823
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,ycsb-600,25153.46885738628
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,smallbank-1,25839.689543672783
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,tpcc-8,497.4939642539774
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,voter-16,47412.03313262239
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,47,voter-2,46982.099873148334
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,smallbank-1,19343.72490020148
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,tpcc-8,601.8488986365771
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,ycsb-600,22229.147914801368
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,voter-2,28732.689688128296
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,voter-16,29683.93325071305
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,ycsb-2400,14879.57547925776
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,smallbank-10,12450.922591576584
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,48,tpcc-2,706.1399484509037
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,voter-2,48650.74988810327
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,voter-16,47549.7332865761
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,smallbank-1,26045.98796845498
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,tpcc-8,517.8772961528596
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,ycsb-600,27418.99761883384
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,smallbank-10,19022.667655986465
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,tpcc-2,926.776042803254
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,49,ycsb-2400,20389.173815543345
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,50,ycsb-2400,13842.81771471282
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,50,smallbank-10,12705.09065877346
